timestamp,proto,src_ip,src_port,dst_ip,dst_port,bytes
2025-11-16T22:21:16.2169504-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:16.2169504-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:16.2169504-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:16.2169504-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:17.223685-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:17.223685-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:17.223685-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:17.223685-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:18.2157478-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:18.2157478-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:18.2157478-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:18.2157478-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:19.2376709-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:19.2376709-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:19.2376709-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:19.2376709-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:20.2204819-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:20.2204819-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:20.2378091-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:20.2378091-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:21.2363112-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:21.2363112-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:21.2363112-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:21.2363112-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:22.2453116-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:22.2453116-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:22.2458643-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:22.2458643-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:23.2318677-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:23.2318677-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:23.2324244-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:23.2324244-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:24.2388526-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:24.2388526-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:24.2393975-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:24.2393975-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:25.2639476-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:25.2639476-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:25.2639476-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:25.2639476-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:26.2555443-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:26.2555443-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:26.2555443-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:26.2555443-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:27.2627007-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:27.2627007-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:27.2627007-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:27.2627007-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:28.2744176-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:28.2744176-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:28.2744176-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:28.2744176-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:29.2881052-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:29.2881052-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:29.2881052-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:29.2881052-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:30.3118461-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:30.3118461-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:30.3118461-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:30.3118461-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:31.3014279-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:31.3014279-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:31.3014279-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:31.3014279-03:00,TCP,127.0.0.1,60930,127.0.0.1,60931,56
2025-11-16T22:21:32.3053926-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
2025-11-16T22:21:32.3053926-03:00,TCP,127.0.0.1,60931,127.0.0.1,60930,45
